Provider,Number of files who's most recent update was in the last [days],,,,,,Number of updates in last 180 days- breakdown,,,,,,Assessment
,30,60,90,180,370,other,30,60,90,180,370,other,
aa,,2,,,,,,4,4,6,6,,Monthly,
aai,,11,,,,,,11,11,11,55,,Monthly,
aauk,,1,,,,,,1,1,2,5,,Monthly,
acaa,,2,,,,,,2,2,2,2,,Monthly,
acord,,1,,,,,,1,1,2,4,,Monthly,
addinternational,,2,,,,,,2,2,4,12,,Monthly,
adrauk,,1,,,,,,2,2,2,5,4,Monthly,
aet,,1,,,,,,1,1,1,1,1,Monthly,
afdb,,,,54,,,,,,88,88,,Six-monthly,
afghanaid,,1,,,,,,1,1,2,2,,Monthly,
afrikids,,1,,,,,,1,2,2,2,1,Monthly,
ai_1064413,,2,,,,,,2,2,3,6,1,Monthly,
akfuk73,,2,,,,,,2,3,6,8,2,Monthly,
akvo,,1,,,,,,2,2,3,3,,Monthly,
amrefuk,,2,,,,,,3,3,3,4,,Monthly,
apt,,3,,,,,,5,5,8,16,,Monthly,
arfh,,2,,,,,,2,2,6,6,,Monthly,
art19,,2,,,,,,3,3,3,6,2,Monthly,
asdb,,1,41,,,,,1,43,109,110,12,Monthly,
ausaid,5,16,1,1,77,15,5,42,44,45,168,22,Monthly,
basicneeds,5,1,,,,,5,10,10,14,26,4,Monthly,
blueventures,,2,,,,,,2,2,3,3,,Monthly,
bmz,,2,,,,,,2,3,7,11,,Monthly,
bond,,1,,,,,,1,1,1,7,3,Monthly,
bracintl,,1,,,,,,1,1,2,4,,Monthly,
buildafrica,,2,,,,,,2,3,3,3,1,Monthly,
cafod,,63,,,,,,124,313,575,818,555,Monthly,
caid,1,1,,1,1,,1,2,2,3,5,,Monthly,
camfed,,3,,,,,,3,3,3,9,6,Monthly,
canoncollinstrust,,1,,,,,,1,1,2,4,2,Monthly,
cda,,2,,,,,,2,2,4,5,,Monthly,
cdc,1,,1,,,,1,1,5,13,15,1,Monthly,
cecily,,2,,,,,,2,2,6,6,,Monthly,
childhopeuk,,3,,,,,,3,3,7,13,1,Monthly,
cic,,2,,,,,,2,2,2,2,1,Monthly,
cif,,33,,,,,,71,71,71,71,,Monthly,
ciks,,2,,,,,,2,2,4,7,,Monthly,
ciuk,,,1,,,,,,1,1,1,,Quarterly,
concernuk,,3,,,,,,3,3,4,4,1,Monthly,
cord,1,1,,,,,1,3,3,8,10,,Monthly,
cprojects,,1,,,,,,1,1,4,7,,Monthly,
cr,,1,,,,,,1,1,2,4,,Monthly,
ctc,,1,1,,,,,1,2,5,5,,Monthly,
cu,,,,,,1,,,,,,1,Beyond one year,
cuammtrustees,,1,,,,,,1,1,1,1,,Monthly,
danida,,,,,1,,,,,,2,,Annually,
dapp,,1,,,,,,1,1,1,1,,Monthly,
dc,,2,,,,,,4,4,5,5,,Monthly,
deccadmin,,2,,,,,,2,2,4,10,1,Monthly,
dfatd-maecd,,2,,,,,,5,7,9,9,,Monthly,
dfid,,58,56,,,,,58,234,758,1054,519,Monthly,
diltuk,,1,,,,,,1,1,1,2,,Monthly,
dipr,1,,,,,,1,1,2,4,11,2,Monthly,
doh,,1,,,,,,1,1,1,1,,Monthly,
dthfxx12,1,1,,,,,1,3,3,8,8,,Monthly,
