"Publisher Name","Publisher Registry ID","2014
Reference Spend Value","2014
Reference Spend Source URL","2014
Accounting Year
","2014 Account Narrative/s used","2015
Reference Spend Value","2015
Reference Spend Source URL","2015
Accounting Year
","2015 Account Narrative/s used","2015
Official Forecast","Currency code","Data error 
reported"
"Aasaman Nepal","aasaman","NO DATA",,,,"NO DATA",,,,,"-",
"Abaseen Foundation UK","abaseen",110633,"http://apps.charitycommission.gov.uk/Accounts/Ends82/0001095882_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, total charitable expenditure, page 6 of report",,,,,,"GBP",
"AbleChildAfrica","ablechildafrica",380906,"http://apps.charitycommission.gov.uk/Accounts/Ends59/0000326859_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, total charitable expenditure, page 10 of report",,,,,,"GBP",
"Abt Associates Inc","abt","NO DATA",,,,"NO DATA",,,,,,
"Across","across","NO DATA",,,,"NO DATA",,,,,"-",
"act4africa","act4africa",262943,"http://apps.charitycommission.gov.uk/Accounts/Ends74/0001092074_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, cost of charitable activities",,,,,,"GBP",
"ACTED","acted",133811325,"https://drive.google.com/file/d/0BxNJe1liUpnnUm9VYUcwejg2ajQ/view",,"Social missions, page 180 of report",,,,,,"EUR",
"Action Against Hunger","acf",10640000,"http://apps.charitycommission.gov.uk/Accounts/Ends01/0001047501_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"ActionAid International","aai",175505000,"http://www.peuples-solidaires.org/sites/files/actionaid/ar20report20201420final2028not20spreads29.pdf",,"Expenditure - programme, page 54 of report",,,,,,"EUR",
"ActionAid UK","aauk",55860000,"http://apps.charitycommission.gov.uk/Accounts/Ends67/0000274467_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Adam Smith International","asi","NO DATA",,,,"NO DATA",,,,,,
"Adaptation Fund","af","NO DATA","https://www.adaptation-fund.org/wp-content/uploads/2015/09/AFB.EFC_.17.6.Rev1-Annual-Performance-Report-for-FY15_final3.pdf",,,"NO DATA",,,,,,
"ADD International","addinternational",2140000,"http://apps.charitycommission.gov.uk/Accounts/Ends60/0000294860_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"ADRA-UK","adrauk",2100000,"http://apps.charitycommission.gov.uk/Accounts/Ends37/0001074937_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Afghanaid","afghanaid",6213173,"http://apps.charitycommission.gov.uk/Accounts/Ends48/0001045348_AC_20141231_E_C.pdf",,"Total charitable expenditure, page 19 of report",,,,,,"GBP",
"Afghanistan and Central Asian Association","acaa",183515,"http://apps.charitycommission.gov.uk/Accounts/Ends08/0001096908_AC_20141031_E_C.pdf",,"Non-calendar year ended 31st October 2014, charitable activities, page 8 of report",,,,,,"GBP",
"Africa Educational Trust","aet",3670000,"http://apps.charitycommission.gov.uk/Accounts/Ends39/0000313139_AC_20140831_E_C.pdf",,"Non-calendar year ended 31st August 2014, charitable activities from charity commission summary",,,,,,"GBP",
"African Development Bank","afdb",3182369160,"DAC*",,"Sum of 6 different entries all named African Development Bank [AfDB], agency codes 1, 11, 12, 14, 15, 16",,,,,,"USD",
"African Initiatives","ai_1064413",645700,"http://apps.charitycommission.gov.uk/Accounts/Ends13/0001064413_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"AfriKids","afrikids",1544587,"http://issuu.com/afrikids/docs/2014_trustees_report_and_accounts",,"Total resources expended (all listed as charitable activities)",,,,,,"GBP",
"Aga Khan Foundation (United Kingdom)","akfuk73",25280000,"http://apps.charitycommission.gov.uk/Accounts/Ends18/0000266518_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Agence Française de Développement","afd",4255952668,"AFD",,"Figure amended to more up to date figure as provided by AFD",,,,,,"USD","Y"
"Agency for Cooperation and Research in Development (ACORD)","acord",9771000,"http://www.acordinternational.org/silo/files/acord-2014-audited-accounts.pdf",,"Charitable activities, page 27 of report",,,,,,"GBP",
"Agriterra","agriterra",14818967,"https://www.agriterra.org/assets/uploads/15940/jaarverslag2014_definitief.compressed.pdf",,"Total expenditure on achievement of objectives, page 19 of report",,,,,,"EUR",
"AidData","aiddata","NO DATA",,,"Secondary publisher therefore not required","NO DATA",,,,,"-",
"Ajuda de Desenvolvimento de Povo para Povo (ADPP)","adpp",22080000,"http://www.adpp-mozambique.org/index.php?option=com_dropfiles&task=frontfile.download&&id=131&catid=155",,"96% of turnover, accounting for administrative costs (4%), page 44-45 of report",,,,,,"USD",
"Aktis Strategy Ltd","aktis","NO DATA",,,,"NO DATA",,,,,,
"Akvo Foundation","akvo",2824000,"http://akvo.org/about-us/annual-report-2014/",,"Link to reports provided by Akvo. Figure from 'Expenditure on behalf on the objectives'",,,,,,"EUR",
